[?1034h== Refs (3085 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/pRec/ProtoP/Charged        |      45285       |     12590      |  3.60 |
| /Event/pRec/ProtoP/Neutrals       |      36738       |      8067      |  4.55 |
| /Event/pRec/Rich                  |        77        |       40       |  1.90 |
| /Event/pRec/Rich/PIDs             |       7064       |      1914      |  3.69 |
| /Event/pRec/Track                 |       105        |       51       |  2.05 |
| /Event/pRec/Track/Best            |      105164      |     49055      |  2.14 |
| /Event/pRec/Track/Muon            |       2402       |      663       |  3.62 |
| /Event/pRec/Vertex                |       105        |       52       |  2.02 |
| /Event/pRec/Vertex/Primary        |       2816       |      1104      |  2.55 |
| /Event/pRec/Vertex/V0             |       113        |       56       |  2.02 |
| /Event/pSim                       |       335        |      216       |  1.55 |
| /Event/pSim/MCParticles           |      413160      |     88640      |  4.66 |
| /Event/pSim/MCVertices            |      401377      |     134242     |  2.99 |
| /Event/pSim/Rich                  |       202        |      200       |  1.01 |
| /Event/pSim/Rich/DigitSummaries   |      131505      |     18050      |  7.29 |
+-----------------------------------+------------------+----------------+-------+
== Total ==
Disk size: 74003 kB
Trees size: 73949 kB
