== Refs (1967 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/pRec/Track/Best            |      109532      |     51022      |  2.15 |
| /Event/pRec/Track/Muon            |       2270       |      582       |  3.90 |
| /Event/pRec/Vertex                |       102        |       46       |  2.21 |
| /Event/pRec/Vertex/Primary        |       2913       |      1134      |  2.57 |
| /Event/pRec/Vertex/V0             |       110        |       48       |  2.26 |
| /Event/pSim                       |       128        |       53       |  2.40 |
| /Event/pSim/MCParticles           |      429311      |     91992      |  4.67 |
| /Event/pSim/MCVertices            |      416416      |     139284     |  2.99 |
| /Event/pSim/Rich                  |        74        |       34       |  2.13 |
| /Event/pSim/Rich/DigitSummaries   |      137259      |     18817      |  7.29 |
+-----------------------------------+------------------+----------------+-------+
== Total ==
Disk size: 99997 kB
Trees size: 99940 kB
