[?1034h== Refs (2869 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/Next/pSim/Ecal/Hits                             |      292002      |     70105      |  4.17 |
| /Event/Next/pSim/FT                                    |       253        |      253       |  1.00 |
| /Event/Next/pSim/FT/Hits                               |      292302      |     134381     |  2.18 |
| /Event/Next/pSim/Hcal                                  |       257        |      257       |  1.00 |
| /Event/Next/pSim/Hcal/Hits                             |      49038       |     11935      |  4.11 |
| /Event/Next/pSim/MCParticles                           |      538860      |     116645     |  4.62 |
| /Event/Next/pSim/MCVertices                            |      519990      |     174319     |  2.98 |
| /Event/Next/pSim/Muon                                  |       257        |      257       |  1.00 |
| /Event/Next/pSim/Muon/Hits                             |      14578       |      7549      |  1.93 |
| /Event/Next/pSim/Rich                                  |       329        |      328       |  1.00 |
| /Event/Next/pSim/Rich/Hits                             |      376186      |     132285     |  2.84 |
| /Event/Next/pSim/Rich/OpticalPhotons                   |     1123494      |     265445     |  4.23 |
| /Event/Next/pSim/Rich/Segments                         |      141978      |      9627      | 14.75 |
| /Event/Next/pSim/Rich/Tracks                           |      15476       |      2541      |  6.09 |
| /Event/Next/pSim/UT                                    |       253        |      253       |  1.00 |
| /Event/Next/pSim/UT/Hits                               |      95406       |     39299      |  2.43 |
| /Event/Next/pSim/VP                                    |       253        |      253       |  1.00 |
| /Event/Next/pSim/VP/Hits                               |      183006      |     60227      |  3.04 |
| /Event/NextNext                                        |       293        |      293       |  1.00 |
| /Event/NextNext/Gen                                    |       277        |      277       |  1.00 |
| /Event/NextNext/Gen/Collisions                         |       1586       |      863       |  1.84 |
| /Event/NextNext/Gen/Header                             |       674        |      461       |  1.46 |
| /Event/NextNext/MC                                     |       251        |      251       |  1.00 |
| /Event/NextNext/MC/Header                              |       797        |      567       |  1.41 |
| /Event/NextNext/pSim                                   |       447        |      340       |  1.31 |
| /Event/NextNext/pSim/Ecal                              |       265        |      265       |  1.00 |
| /Event/NextNext/pSim/Ecal/Hits                         |      211303      |     50859      |  4.15 |
| /Event/NextNext/pSim/FT                                |       261        |      261       |  1.00 |
| /Event/NextNext/pSim/FT/Hits                           |      208118      |     96783      |  2.15 |
| /Event/NextNext/pSim/Hcal                              |       265        |      265       |  1.00 |
| /Event/NextNext/pSim/Hcal/Hits                         |      33041       |      8441      |  3.91 |
| /Event/NextNext/pSim/MCParticles                       |      409260      |     88671      |  4.62 |
| /Event/NextNext/pSim/MCVertices                        |      396188      |     131961     |  3.00 |
| /Event/NextNext/pSim/Muon                              |       265        |      265       |  1.00 |
| /Event/NextNext/pSim/Muon/Hits                         |      10698       |      5591      |  1.91 |
| /Event/NextNext/pSim/Rich                              |       337        |      336       |  1.00 |
