[?1034h== Refs (3050 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/pRec/Rich                  |        70        |       29       |  2.44 |
| /Event/pRec/Rich/PIDs             |       6836       |      1849      |  3.70 |
| /Event/pRec/Track                 |        98        |       38       |  2.56 |
| /Event/pRec/Track/Best            |      99197       |     46453      |  2.14 |
| /Event/pRec/Track/Muon            |       2349       |      613       |  3.83 |
| /Event/pRec/Vertex                |        98        |       38       |  2.54 |
| /Event/pRec/Vertex/Primary        |       2661       |      1051      |  2.53 |
| /Event/pRec/Vertex/V0             |       105        |       40       |  2.64 |
| /Event/pSim                       |       306        |      148       |  2.06 |
| /Event/pSim/MCParticles           |      395321      |     84756      |  4.66 |
| /Event/pSim/MCVertices            |      384112      |     128709     |  2.98 |
+-----------------------------------+------------------+----------------+-------+
== Total ==
Disk size: 148920 kB
Trees size: 148836 kB
