[?1034h== Refs (2561 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/pRec/ProtoP/Charged        |      59102       |     16046      |  3.68 |
| /Event/pRec/ProtoP/Neutrals       |      42929       |      9360      |  4.59 |
| /Event/pRec/Rich                  |       106        |       75       |  1.40 |
| /Event/pRec/Rich/PIDs             |       9086       |      2330      |  3.90 |
| /Event/pRec/Track                 |       142        |      105       |  1.35 |
| /Event/pRec/Track/Best            |      136473      |     63511      |  2.15 |
| /Event/pRec/Track/Muon            |       3376       |      797       |  4.23 |
| /Event/pRec/Vertex                |       143        |      106       |  1.35 |
| /Event/pRec/Vertex/Primary        |       3266       |      1205      |  2.71 |
| /Event/pRec/Vertex/V0             |       149        |      108       |  1.38 |
| /Event/pSim                       |       363        |      258       |  1.41 |
| /Event/pSim/MCParticles           |      506601      |     107409     |  4.72 |
| /Event/pSim/MCVertices            |      495308      |     166799     |  2.97 |
| /Event/pSim/Rich                  |       237        |      235       |  1.01 |
| /Event/pSim/Rich/DigitSummaries   |      166073      |     22760      |  7.30 |
+-----------------------------------+------------------+----------------+-------+
== Total ==
Disk size: 6129 kB
Trees size: 6108 kB
